PokemonId,PokedexNumber,PokemonName,Classification,PokemonHeight,PokemonWeight,PrimaryType,PrimaryAbility,PrimaryAbilityDescription,MaleRatio,FemaleRatio,BaseHappiness,GameofOrigin,RegionofOrigin,HealthStat,AttackStat,DefenseStat,SpecialAttackStat,SpecialDefenseStat,SpeedStat,BaseStatTotal,HealthEV,AttackEV,DefenseEV,SpecialAttackEV,SpecialDefenseEV,SpeedEV,EVYieldTotal,CatchRate,ExperienceGrowth,ExperienceGrowthTotal,ExperienceYield,PrimaryEggGroup,EggCycleCount
1,1,Bulbasaur,Seed Pokemon,0.7,6.9,Grass,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,87.5,12.5,70,Red,Kanto,45,49,49,65,65,45,318,0,0,0,1,0,0,1,45,Medium Slow,1059860,64,Monster,20
2,2,Ivysaur,Seed Pokemon,1.0,13.0,Grass,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,87.5,12.5,70,Red,Kanto,60,62,63,80,80,60,405,0,0,0,1,1,0,2,45,Medium Slow,1059860,142,Monster,20
3,3,Venusaur,Seed Pokemon,2.0,100.0,Grass,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,87.5,12.5,70,Red,Kanto,80,82,83,100,100,80,525,0,0,0,2,1,0,3,45,Medium Slow,1059860,236,Monster,20
4,3,Venusaur,Seed Pokemon,2.4,155.5,Grass,Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves. ",87.5,12.5,70,X,Kalos,80,100,123,122,120,80,625,0,0,0,2,1,0,3,45,Medium Slow,1059860,281,Monster,20
5,4,Charmander,Lizard Pokemon,0.6,8.5,Fire,Blaze,Powers up Fire-type moves when the Pokémon's HP is low. ,87.5,12.5,70,Red,Kanto,39,52,43,60,50,65,309,0,0,0,0,0,1,1,45,Medium Slow,1059860,62,Monster,20
6,5,Charmeleon,Flame Pokemon,1.1,19.0,Fire,Blaze,Powers up Fire-type moves when the Pokémon's HP is low. ,87.5,12.5,70,Red,Kanto,58,64,58,80,65,80,405,0,0,0,1,0,1,2,45,Medium Slow,1059860,142,Monster,20
7,6,Charizard,Flame Pokemon,1.7,90.5,Fire,Blaze,Powers up Fire-type moves when the Pokémon's HP is low. ,87.5,12.5,70,Red,Kanto,78,84,78,109,85,100,534,0,0,0,3,0,0,3,45,Medium Slow,1059860,240,Monster,20
8,6,Charizard,Flame Pokemon,1.7,110.5,Fire,Tough Claws,Powers up moves that make direct contact. ,87.5,12.5,70,X,Kalos,78,130,111,130,85,100,634,0,0,0,3,0,0,3,45,Medium Slow,1059860,285,Monster,20
9,6,Charizard,Flame Pokemon,1.7,100.5,Fire,Drought,Turns the sunlight harsh when the Pokémon enters a battle.,87.5,12.5,70,X,Kalos,78,104,78,159,115,100,634,0,0,0,3,0,0,3,45,Medium Slow,1059860,285,Monster,20
10,7,Squirtle,Tiny Turtle Pokemon,0.5,9.0,Water,Torrent,Powers up Water-type moves when the Pokémon's HP is low. ,87.5,12.5,70,Red,Kanto,44,48,65,50,64,43,314,0,0,1,0,0,0,1,45,Medium Slow,1059860,63,Monster,20
11,8,Wartortle,Turtle Pokemon,1.0,22.5,Water,Torrent,Powers up Water-type moves when the Pokémon's HP is low. ,87.5,12.5,70,Red,Kanto,59,63,80,65,80,58,405,0,0,1,0,1,0,2,45,Medium Slow,1059860,142,Monster,20
12,9,Blastoise,Shellfish Pokemon,1.6,85.5,Water,Torrent,Powers up Water-type moves when the Pokémon's HP is low. ,87.5,12.5,70,Red,Kanto,79,83,100,85,105,78,530,0,0,0,0,3,0,3,45,Medium Slow,1059860,239,Monster,20
13,9,Blastoise,Shellfish Pokemon,1.6,101.1,Water,Mega Launcher,Powers up aura and pulse moves. ,87.5,12.5,70,X,Kalos,79,103,120,135,115,78,630,0,0,0,0,3,0,3,45,Medium Slow,1059860,284,Monster,20
14,848,Toxel,Baby Pokemon,0.4,11.0,Electric,Rattled,"Dark-, Ghost-, and Bug-type moves scare the Pokémon and boost its Speed stat.",50.0,50.0,50,Sword,Galar,40,38,35,54,35,40,242,0,0,0,1,0,0,1,75,Medium Slow,1059860,48,Undiscovered,25
15,849,Toxtricity,Punk Pokemon,1.6,40.0,Electric,Punk Rock,Boosts the power of sound-based moves. The Pokémon also takes half the damage from these kinds of moves.,50.0,50.0,50,Sword,Galar,75,98,70,114,70,75,502,0,0,0,2,0,0,2,45,Medium Slow,1059860,176,Human-Like,25
16,849,Toxtricity,Punk Pokemon,1.6,40.0,Electric,Punk Rock,Boosts the power of sound-based moves. The Pokémon also takes half the damage from these kinds of moves.,50.0,50.0,50,Sword,Galar,75,98,70,114,70,75,502,0,0,0,2,0,0,2,45,Medium Slow,1059860,176,Human-Like,25
17,30,Nidorina,Poison Pin Pokemon,0.8,20.0,Poison,Poison Point,Contact with the Pokémon may poison the attacker.,0.0,100.0,70,Red,Kanto,70,62,67,55,55,56,365,2,0,0,0,0,0,2,120,Medium Slow,1059860,128,Undiscovered,20
18,31,Nidoqueen,Drill Pokemon,1.3,60.0,Poison,Poison Point,Contact with the Pokémon may poison the attacker.,0.0,100.0,70,Red,Kanto,90,92,87,75,85,76,505,3,0,0,0,0,0,3,45,Medium Slow,1059860,227,Undiscovered,20
19,392,Infernape,Flame Pokemon,1.2,55.0,Fire,Blaze,Powers up Fire-type moves when the Pokémon's HP is low. ,87.5,12.5,70,Diamond,Sinnoh,76,104,71,104,71,108,534,0,1,0,1,0,1,3,45,Medium Slow,1059860,240,Field,20
20,403,Shinx,Flash Pokemon,0.5,9.5,Electric,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",50.0,50.0,70,Diamond,Sinnoh,45,65,34,40,34,45,263,0,1,0,0,0,0,1,235,Medium Slow,1059860,53,Field,20
21,404,Luxio,Spark Pokemon,0.9,30.5,Electric,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",50.0,50.0,100,Diamond,Sinnoh,60,85,49,60,49,60,363,0,2,0,0,0,0,2,120,Medium Slow,1059860,127,Field,20
22,405,Luxray,Gleam Eyes Pokemon,1.4,42.0,Electric,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",50.0,50.0,70,Diamond,Sinnoh,80,120,79,95,79,70,523,0,3,0,0,0,0,3,45,Medium Slow,1059860,235,Field,20
23,11,Metapod,Cocoon Pokemon,0.7,9.9,Bug,Shed Skin,The Pokémon may heal its own status conditions by shedding its skin.,50.0,50.0,70,Red,Kanto,50,20,55,25,25,30,205,0,0,2,0,0,0,2,120,Medium Fast,1000000,72,Bug,15
24,12,Butterfree,Butterfly Pokemon,1.1,32.0,Bug,Compound Eyes,The Pokémon's compound eyes boost its accuracy.,50.0,50.0,70,Red,Kanto,60,45,50,90,80,70,395,0,0,0,2,1,0,3,45,Medium Fast,1000000,178,Bug,15
25,679,Honedge,Sword Pokemon,0.8,2.0,Steel,No Guard,The Pokémon employs no-guard tactics to ensure incoming and outgoing attacks always land.,50.0,50.0,70,X,Kalos,45,80,100,35,37,28,325,0,0,1,0,0,0,1,180,Medium Fast,1000000,65,Mineral,20
26,680,Doublade,Sword Pokemon,0.8,4.5,Steel,No Guard,The Pokémon employs no-guard tactics to ensure incoming and outgoing attacks always land.,50.0,50.0,70,X,Kalos,59,110,150,45,49,35,448,0,0,2,0,0,0,2,90,Medium Fast,1000000,157,Mineral,20
27,15,Beedrill,Poison Bee Pokemon,1.0,29.5,Bug,Swarm,Powers up Bug-type moves when the Pokémon's HP is low.,50.0,50.0,70,Red,Kanto,65,90,40,45,80,75,395,0,2,0,0,1,0,3,45,Medium Fast,1000000,178,Bug,15
28,15,Beedrill,Poison Bee Pokemon,1.4,40.5,Bug,Adaptability,Powers up moves of the same type as the Pokémon.,50.0,50.0,70,Omega Ruby,Kalos,65,150,40,15,80,145,495,0,2,0,0,1,0,3,45,Medium Fast,1000000,223,Bug,15
29,132,Ditto,Transform Pokemon,0.3,4.0,Normal,Limber,Its limber body protects the Pokémon from paralysis.,0.0,0.0,70,Red,Kanto,48,48,48,48,48,48,288,1,0,0,0,0,0,1,35,Medium Fast,1000000,101,Ditto,20
30,14,Kakuna,Cocoon Pokemon,0.6,10.0,Bug,Shed Skin,The Pokémon may heal its own status conditions by shedding its skin.,50.0,50.0,70,Red,Kanto,45,25,50,25,25,35,205,0,0,2,0,0,0,2,120,Medium Fast,1000000,72,Bug,15
31,13,Weedle,Hairy Bug Pokemon,0.3,3.2,Bug,Shield Dust,This Pokémon's dust blocks the additional effects of attacks taken.,50.0,50.0,70,Red,Kanto,40,35,30,20,20,50,195,0,0,0,0,0,1,1,255,Medium Fast,1000000,39,Bug,15
32,10,Caterpie,Worm Pokemon,0.3,2.9,Bug,Shield Dust,This Pokémon's dust blocks the additional effects of attacks taken.,50.0,50.0,70,Red,Kanto,45,30,35,20,20,45,195,1,0,0,0,0,0,1,255,Medium Fast,1000000,39,Bug,15
33,29,NidoranFemale,Poison Pin Pokemon,0.4,7.0,Poison,Poison Point,Contact with the Pokémon may poison the attacker.,0.0,100.0,70,Red,Kanto,55,47,52,40,40,41,275,1,0,0,0,0,0,1,235,Medium Slow,1059860,55,Monster,20
34,390,Chimchar,Chimp Pokemon,0.5,6.2,Fire,Blaze,Powers up Fire-type moves when the Pokémon's HP is low. ,87.5,12.5,70,Diamond,Sinnoh,44,58,44,58,44,61,309,0,0,0,0,0,1,1,45,Medium Slow,1059860,62,Field,20
35,391,Monferno,Playful Pokemon,0.9,22.0,Fire,Blaze,Powers up Fire-type moves when the Pokémon's HP is low. ,87.5,12.5,70,Diamond,Sinnoh,64,78,52,78,52,81,405,0,0,0,1,0,1,2,45,Medium Slow,1059860,142,Field,20
36,489,Phione,Sea Drifter Pokemon,0.4,3.1,Water,Hydration,Heals status conditions if it's raining.,0.0,0.0,70,Diamond,Sinnoh,80,80,80,80,80,80,480,1,0,0,0,0,0,1,30,Slow,1250000,216,Water 1,40
37,490,Manaphy,Seafaring Pokemon,0.3,1.4,Water,Hydration,Heals status conditions if it's raining.,0.0,0.0,70,Diamond,Sinnoh,100,100,100,100,100,100,600,3,0,0,0,0,0,3,3,Slow,1250000,270,Water 1,10
